"*SiteName","GAINS3_EventName","*Country","*StateProv","District","*Latitude","*Longitude","HabitatType","HabitatComment","LandscapeConversionGradient","*AnthropogenicChange","AnthropogenicChangeSecondary","*DomesticAnimals","OtherDomesticAnimals","*DateStarted","TimeStart","TimeDuration","*RecorderID","RecorderOther","*RecorderAffiliation","ArchivedData","SourceCertainty","*PrimaryInterface","OtherPrimaryInterface","SecondaryInterface","OtherSecondaryInterface","*ReasonForCollection","KnownSource","EventCustomColumns","ContainerID","ContainerType","Quantity","QuantityCertainty","QuantityUnit","SampleUnitID","*AnimalID (GAINS)","*AnimalID (Recorded As)","SampleDate","sampleUnitLatitude","sampleUnitLongitude","*IdentifiedBy","CircumstanceObservation","SampleLocation","*AnimalClassification","AnimalTaxa","*TaxonomicDescriptor","*SpeciesScientificName","SpeciesCommonNameEnglish","SpeciesCommonNameLocal","*IdentificationCertainty","TagBandID","Sex","AgeClass","Pregnant","WithYoung","Lactating","*ConditionAtSampling","ReportedAsConditionAtCapture","ConditionAtRelease","PreservationMethod","OtherConditionPreservation","Use","OtherUse","DestinationOfProduct","OriginKnown","OriginLocation","TimeSinceOrigin","Euthanasia","ClinicalSigns/GrossFindings","DiseaseSuspected","SuspectedDisease","Necropsy/Exam","FieldNecropsyResults","BodyMeasurementBodyPartType","BodyMeasurementUnit","BodyMeasurementValue","Part","PartDescription","PerceivedRateOfSale","PerceivedRateSaleTimeUnit","PriceUnitLocal","PriceUnitUSD","VendorQuantity","VendorQuantityUnit","VendorQuantityCertainty","ButcheringActivity","Butcher","ButcherObservableRiskFactors","ButcherReducesBloodContact","Quarter","sampleUnitNotes","sampleUnitCustomColumns","SpecimenID","SpecimenIDBarcode","SpecimenDate","SpecimenType","SpecimenTypeDescriptor","SpecimenCondition","SpecimenComments","SamplingMethod","SampleAliquotted","AliquotID","SampleContainer","StorageMedium","FieldStorageMethod","LaboratoryStorageMethod","SpecimenLocationFacilityName","SpecimenLocationInLab","SpecimenLocationFacilityAddress","TimeFromCollectionToFreezing","BloodCollectionTube","PlasmaCollected","SerumCollected","MethodOfSerumPlasmaCollection","VolumeOfSerumPlasma","Notes","SpecimenCustomColumns","DateCreated","EntryID","InPurgatory"
"Bakoumba 1","Bakoumba 1-2011-02-15","Gabon","Haut Ogooué","","-1.78412","12.99234","","","","established village or indigenous settlement","none of these","none","","2011-02-15","00:00:00","","CIRMF","","GVFI","False","","contact with park personnel/intensive wildlife management area ","","","","Active surveillance","","","GVF-GA-BC001","","","","","47564","GVF-GA-BC001","","","","","CIRMF","","","Wild","Other Mammals","Syncerus Caffer Nanus","Syncerus Caffer Nanus","","","Actual","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","254616","GVF-GA-BC001-4","2011-02-15","Feces ","(frozen)","","","","","","","","","","","","","","","","","","","","","11/14/2011 4:37:19 PM","3725","False"
"Bakoumba 1","Bakoumba 1-2011-02-15","Gabon","Haut Ogooué","","-1.78412","12.99234","","","","established village or indigenous settlement","none of these","none","","2011-02-15","00:00:00","","CIRMF","","GVFI","False","","contact with park personnel/intensive wildlife management area ","","","","Active surveillance","","","GVF-GA-BC002","","","","","47565","GVF-GA-BC002","","","","","CIRMF","","","Wild","Other Mammals","Syncerus Caffer Nanus","Syncerus Caffer Nanus","","","Actual","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","254617","GVF-GA-BC002-4","2011-02-15","Feces ","(frozen)","","","","","","","","","","","","","","","","","","","","","11/14/2011 4:37:19 PM","3725","False"
"Bakoumba 10","Bakoumba 10-2011-02-17","Gabon","Haut Ogooué","","-1.7846","13.01199","","","","established village or indigenous settlement","none of these","none","","2011-02-17","00:00:00","","CIRMF","","GVFI","False","","contact with park personnel/intensive wildlife management area ","","","","Active surveillance","","","GVF-GA-BC015","","","","","47578","GVF-GA-BC015","","","","","CIRMF","","","Wild","Other Mammals","Syncerus Caffer Nanus","Syncerus Caffer Nanus","","","Actual","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","254399","GVF-GA-BC015-4","2011-02-17","Feces ","(frozen)","","","","","","","","","","","","","","","","","","","","","11/14/2011 4:37:19 PM","3725","False"
"Bakoumba 11","Bakoumba 11-2011-02-17","Gabon","Haut Ogooué","","-1.7709","13.01141","","","","established village or indigenous settlement","none of these","none","","2011-02-17","00:00:00","","CIRMF","","GVFI","False","","contact with park personnel/intensive wildlife management area ","","","","Active surveillance","","","GVF-GA-BC016","","","","","47579","GVF-GA-BC016","","","","","CIRMF","","","Wild","Other Mammals","Syncerus Caffer Nanus","Syncerus Caffer Nanus","","","Actual","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","254400","GVF-GA-BC016-4","2011-02-17","Feces ","(frozen)","","","","","","","","","","","","","","","","","","","","","11/14/2011 4:37:19 PM","3725","False"
"Bakoumba 12","Bakoumba 12-2011-02-17","Gabon","Haut Ogooué","","-1.76927","13.00882","","","","established village or indigenous settlement","none of these","none","","2011-02-17","00:00:00","","CIRMF","","GVFI","False","","contact with park personnel/intensive wildlife management area ","","","","Active surveillance","","","GVF-GA-BC017","","","","","47580","GVF-GA-BC017","","","","","CIRMF","","","Wild","Other Mammals","Syncerus Caffer Nanus","Syncerus Caffer Nanus","","","Actual","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","254401","GVF-GA-BC017-4","2011-02-17","Feces ","(frozen)","","","","","","","","","","","","","","","","","","","","","11/14/2011 4:37:19 PM","3725","False"
"Bakoumba 13","Bakoumba 13-2011-02-17","Gabon","Haut Ogooué","","-1.76905","13.00732","","","","established village or indigenous settlement","none of these","none","","2011-02-17","00:00:00","","CIRMF","","GVFI","False","","contact with park personnel/intensive wildlife management area ","","","","Active surveillance","","","GVF-GA-BC018","","","","","47581","GVF-GA-BC018","","","","","CIRMF","","","Wild","Other Mammals","Syncerus Caffer Nanus","Syncerus Caffer Nanus","","","Actual","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","254408","GVF-GA-BC018-4","2011-02-17","Feces ","(frozen)","","","","","","","","","","","","","","","","","","","","","11/14/2011 4:37:19 PM","3725","False"
"Bakoumba 14","Bakoumba 14-2011-02-17","Gabon","Haut Ogooué","","-1.76928","13.00581","","","","established village or indigenous settlement","none of these","none","","2011-02-17","00:00:00","","CIRMF","","GVFI","False","","contact with park personnel/intensive wildlife management area ","","","","Active surveillance","","","GVF-GA-BC019","","","","","47582","GVF-GA-BC019","","","","","CIRMF","","","Wild","Other Mammals","Syncerus Caffer Nanus","Syncerus Caffer Nanus","","","Actual","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","254578","GVF-GA-BC019-4","2011-02-17","Feces ","(frozen)","","","","","","","","","","","","","","","","","","","","","11/14/2011 4:37:19 PM","3725","False"
"Bakoumba 15","Bakoumba 15-2011-02-17","Gabon","Haut Ogooué","","-1.76963","12.99749","","","","established village or indigenous settlement","none of these","none","","2011-02-17","00:00:00","","CIRMF","","GVFI","False","","contact with park personnel/intensive wildlife management area ","","","","Active surveillance","","","GVF-GA-BC020","","","","","47583","GVF-GA-BC020","","","","","CIRMF","","","Wild","Other Mammals","Syncerus Caffer Nanus","Syncerus Caffer Nanus","","","Actual","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","254579","GVF-GA-BC020-4","2011-02-17","Feces ","(frozen)","","","","","","","","","","","","","","","","","","","","","11/14/2011 4:37:19 PM","3725","False"
"Bakoumba 16","Bakoumba 16-2011-02-17","Gabon","Haut Ogooué","","-1.74602","12.9248","","","","established village or indigenous settlement","none of these","none","","2011-02-17","00:00:00","","CIRMF","","GVFI","False","","contact with park personnel/intensive wildlife management area ","","","","Active surveillance","","","GVF-GA-BC021","","","","","47584","GVF-GA-BC021","","","","","CIRMF","","","Wild","Other Mammals","Syncerus Caffer Nanus","Syncerus Caffer Nanus","","","Actual","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","254580","GVF-GA-BC021-4","2011-02-17","Feces ","(frozen)","","","","","","","","","","","","","","","","","","","","","11/14/2011 4:37:19 PM","3725","False"
"Bakoumba 17","Bakoumba 17-2011-02-17","Gabon","Haut Ogooué","","-1.74626","12.92815","","","","established village or indigenous settlement","none of these","none","","2011-02-17","00:00:00","","CIRMF","","GVFI","False","","contact with park personnel/intensive wildlife management area ","","","","Active surveillance","","","GVF-GA-BC022","","","","","47585","GVF-GA-BC022","","","","","CIRMF","","","Wild","Other Mammals","Syncerus Caffer Nanus","Syncerus Caffer Nanus","","","Actual","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FY2 Q2:  Jan 1 - Mar 31, 2011","","","254588","GVF-GA-BC022-4","2011-02-17","Feces ","(frozen)","","","","","","","","","","","","","","","","","","","","","11/14/2011 4:37:19 PM","3725","False"
